Ticket_ID,Issue_Category,Priority,Status,Created_Date,Resolved_Date,SLA_Hours,Assigned_Agent,Department,User_Rating,Branch,Resolution_Time_Hours,SLA_Status,Agent_Id,Agent_Name,,
TKT-101184,Hardware Failure,Critical,Open,08-05-2023,09-05-2023,36,AGN-122,Finance,2,Bangalore,22.32175508,Met,AGN-122,Suresh,,Agent_8
TKT-104555,System Crash,High,In Progress,22-04-2023,25-04-2023,36,AGN-158,Finance,5,Bangalore,3.028107137,Met,AGN-158,Priya,,Agent_14
TKT-103385,System Crash,High,In Progress,28-05-2023,30-05-2023,36,AGN-199,Finance,5,Bangalore,10.70186276,Met,AGN-199,Karthik,,Agent_3
TKT-106396,Software Bug,Low,In Progress,17-05-2023,21-05-2023,36,AGN-189,Operations,2,Bangalore,2.382907305,Met,AGN-189,Neha,,Agent_3
TKT-108666,Hardware Failure,High,Open,14-12-2023,22-12-2023,36,AGN-108,Support,2,Bangalore,14.76369289,Met,AGN-108,Rahul,,Agent_17
TKT-109274,Software Bug,Critical,Open,12-07-2023,19-07-2023,36,AGN-142,Finance,1,Bangalore,3.89197438,Met,AGN-142,Pooja,,Agent_5
TKT-102558,System Crash,Critical,Open,30-07-2023,03-08-2023,36,AGN-118,IT,4,Bangalore,23.92302661,Met,AGN-118,Arjun,,Agent_4
TKT-107849,Hardware Failure,Low,In Progress,08-05-2023,11-05-2023,36,AGN-146,Operations,1,Bangalore,11.74779389,Met,AGN-146,Meena,,Agent_16
TKT-102047,Hardware Failure,Medium,Resolved,21-09-2023,25-09-2023,36,AGN-117,Support,1,Bangalore,25.42511895,Met,AGN-117,Ravi,,Agent_10
TKT-102747,Performance Issue,Critical,Open,30-07-2023,03-08-2023,36,AGN-108,Finance,5,Bangalore,7.895585755,Met,AGN-108,Anita,,Agent_20
TKT-109167,Login Issue,High,Open,17-10-2023,21-10-2023,36,AGN-189,Support,3,Bangalore,19.71894617,Met,AGN-189,Suresh,,Agent_18
TKT-109998,Login Issue,Critical,Open,20-05-2023,20-05-2023,36,AGN-120,HR,3,Bangalore,25.16368152,Met,AGN-120,Priya,,Agent_13
TKT-100189,System Crash,High,In Progress,01-06-2023,01-06-2023,36,AGN-183,IT,3,Bangalore,17.22027698,Met,AGN-183,Karthik,,Agent_9
TKT-102734,Email Problem,High,In Progress,02-12-2023,07-12-2023,36,AGN-129,Support,1,Bangalore,65.70118897,Breached,AGN-129,Neha,,Agent_14
TKT-103005,Login Issue,Low,In Progress,21-01-2023,23-01-2023,36,AGN-151,Support,5,Bangalore,18.75701393,Met,AGN-151,Rahul,,Agent_10
TKT-104658,Software Bug,Low,Resolved,17-02-2023,19-02-2023,36,AGN-185,Operations,4,Bangalore,20.39973699,Met,AGN-185,Pooja,,Agent_16
TKT-101899,Software Bug,Low,In Progress,31-08-2023,05-09-2023,36,AGN-150,Support,3,Bangalore,3.18788716,Met,AGN-150,Arjun,,Agent_17
TKT-107734,Performance Issue,Medium,Open,29-08-2023,29-08-2023,36,AGN-126,Finance,4,Bangalore,72.03309676,Breached,AGN-126,Meena,,Agent_4
TKT-101267,Network Issue,Low,Resolved,06-04-2023,08-04-2023,36,AGN-121,IT,5,Bangalore,102.5942039,Breached,AGN-121,Vijay,,Agent_4
TKT-101528,Software Bug,Critical,In Progress,10-12-2023,16-12-2023,36,AGN-115,Finance,4,Bangalore,1.167302666,Met,AGN-115,Sneha,,Agent_12
TKT-103556,Hardware Failure,Low,In Progress,04-10-2023,07-10-2023,36,AGN-129,Support,1,Bangalore,13.18913109,Met,AGN-129,Amit,,Agent_2
TKT-103890,Software Bug,Critical,Open,26-12-2023,04-01-2024,36,AGN-142,Support,2,Bangalore,6.374780185,Met,AGN-142,Divya,,Agent_15
TKT-108838,Login Issue,High,Open,18-04-2023,19-04-2023,36,AGN-107,Operations,5,Bangalore,5.416442618,Met,AGN-107,Manoj,,Agent_15
TKT-105393,Hardware Failure,High,In Progress,09-07-2023,10-07-2023,36,AGN-150,IT,1,Bangalore,27.89413529,Met,AGN-150,Ravi,,Agent_16
TKT-108792,Performance Issue,Critical,In Progress,20-12-2023,25-12-2023,36,AGN-201,Support,4,Bangalore,25.63888384,Met,AGN-201,Anita,,Agent_5
TKT-108433,Performance Issue,Critical,In Progress,14-07-2023,19-07-2023,36,AGN-167,Finance,5,Bangalore,3.851750971,Met,AGN-167,Suresh,,Agent_19
TKT-107513,Performance Issue,High,Resolved,07-05-2023,10-05-2023,36,AGN-186,HR,3,Bangalore,23.0959864,Met,AGN-186,Priya,,Agent_20
TKT-102612,Performance Issue,High,Open,21-06-2023,24-06-2023,36,AGN-177,IT,3,Bangalore,26.13651894,Met,AGN-177,Karthik,,Agent_18
TKT-107041,Email Problem,Low,Resolved,15-02-2023,18-02-2023,36,AGN-105,Operations,4,Bangalore,22.93925188,Met,AGN-105,Neha,,Agent_2
TKT-109555,Software Bug,Critical,Open,20-07-2023,25-07-2023,36,AGN-146,IT,4,Bangalore,6.237268276,Met,AGN-146,Rahul,,Agent_15
TKT-106235,Performance Issue,Low,Resolved,24-04-2023,29-04-2023,36,AGN-194,IT,2,Bangalore,6.292978374,Met,AGN-194,Pooja,,Agent_16
TKT-105486,Software Bug,Medium,Open,16-07-2023,22-07-2023,36,AGN-147,Operations,2,Bangalore,12.56485062,Met,AGN-147,Arjun,,Agent_3
TKT-107099,Software Bug,High,Resolved,21-10-2023,21-10-2023,36,AGN-104,HR,3,Bangalore,10.9507217,Met,AGN-104,Meena,,Agent_14
TKT-109670,System Crash,Low,Open,03-08-2023,11-08-2023,36,AGN-117,Support,2,Bangalore,50.53983975,Breached,AGN-117,Ravi,,Agent_2
TKT-100775,Login Issue,Medium,In Progress,10-08-2023,15-08-2023,36,AGN-104,IT,4,Bangalore,5.435605136,Met,AGN-104,Anita,,Agent_9
TKT-108226,Hardware Failure,High,Resolved,21-05-2023,29-05-2023,36,AGN-156,HR,2,Bangalore,14.82117824,Met,AGN-156,Suresh,,Agent_17
TKT-103152,System Crash,Critical,In Progress,02-01-2023,11-01-2023,36,AGN-199,Support,1,Bangalore,23.14606632,Met,AGN-199,Priya,,Agent_18
TKT-101585,System Crash,High,In Progress,23-12-2023,23-12-2023,36,AGN-201,Finance,1,Bangalore,17.63547285,Met,AGN-201,Karthik,,Agent_12
TKT-103943,Performance Issue,High,Open,17-12-2023,23-12-2023,36,AGN-146,Operations,4,Bangalore,12.06024187,Met,AGN-146,Neha,,Agent_8
TKT-107555,System Crash,Low,Resolved,11-11-2023,14-11-2023,36,AGN-119,Operations,1,Bangalore,16.20547675,Met,AGN-119,Rahul,,Agent_12
TKT-103073,System Crash,Low,In Progress,09-12-2023,17-12-2023,36,AGN-168,HR,5,Bangalore,98.07711575,Breached,AGN-168,Pooja,,Agent_3
TKT-101021,Login Issue,Low,In Progress,10-03-2023,11-03-2023,36,AGN-166,HR,4,Bangalore,7.647902515,Met,AGN-166,Arjun,,Agent_20
TKT-103843,Email Problem,Critical,Open,12-02-2023,17-02-2023,36,AGN-190,HR,4,Bangalore,1.769763893,Met,AGN-190,Meena,,Agent_2
TKT-107989,Email Problem,Low,Open,24-11-2023,28-11-2023,36,AGN-204,Operations,5,Bangalore,21.96057671,Met,AGN-204,Vijay,,Agent_3
TKT-109692,Email Problem,High,Open,15-02-2023,23-02-2023,36,AGN-112,HR,1,Bangalore,24.91784412,Met,AGN-112,Sneha,,Agent_16
TKT-106873,Login Issue,Medium,Open,23-07-2023,27-07-2023,36,AGN-118,Operations,2,Bangalore,25.591796,Met,AGN-118,Amit,,Agent_8
TKT-105675,System Crash,High,Open,25-10-2023,26-10-2023,36,AGN-137,Finance,5,Bangalore,23.05962218,Met,AGN-137,Divya,,Agent_17
TKT-100161,System Crash,High,In Progress,03-03-2023,05-03-2023,36,AGN-162,Finance,3,Bangalore,26.45416855,Met,AGN-162,Manoj,,Agent_14
TKT-104297,System Crash,Medium,In Progress,04-12-2023,06-12-2023,36,AGN-155,HR,3,Bangalore,102.7890088,Breached,AGN-155,Ravi,,Agent_11
TKT-100995,Hardware Failure,Low,Open,07-02-2023,12-02-2023,36,AGN-153,IT,3,Bangalore,20.68636693,Met,AGN-153,Anita,,Agent_15
TKT-107629,Hardware Failure,High,Open,07-02-2023,10-02-2023,36,AGN-167,Support,5,Bangalore,27.81397108,Met,AGN-167,Suresh,,Agent_3
TKT-109467,System Crash,High,Resolved,13-07-2023,19-07-2023,36,AGN-148,IT,1,Bangalore,79.5930233,Breached,AGN-148,Priya,,Agent_6
TKT-101016,Login Issue,Medium,In Progress,22-09-2023,30-09-2023,36,AGN-148,Support,3,Bangalore,25.70463223,Met,AGN-148,Karthik,,Agent_13
TKT-107869,System Crash,Critical,Resolved,03-01-2023,11-01-2023,36,AGN-175,IT,3,Bangalore,14.93719649,Met,AGN-175,Neha,,Agent_2
TKT-106439,Network Issue,Low,Open,01-03-2023,04-03-2023,36,AGN-160,Finance,5,Bangalore,19.4457785,Met,AGN-160,Rahul,,Agent_20
TKT-107892,System Crash,Low,Resolved,08-10-2023,17-10-2023,36,AGN-178,IT,5,Bangalore,10.62679506,Met,AGN-178,Pooja,,Agent_12
TKT-106863,System Crash,Medium,Open,07-06-2023,08-06-2023,36,AGN-104,Operations,5,Bangalore,19.32647997,Met,AGN-104,Arjun,,Agent_18
TKT-107916,Email Problem,Medium,Resolved,18-08-2023,22-08-2023,36,AGN-119,Operations,5,Bangalore,59.33128709,Breached,AGN-119,Meena,,Agent_15
TKT-108529,Performance Issue,High,Open,31-12-2023,07-01-2024,36,AGN-170,Support,1,Bangalore,28.73569876,Met,AGN-170,Ravi,,Agent_20
TKT-100878,Login Issue,Low,Resolved,10-09-2023,12-09-2023,36,AGN-181,Finance,1,Bangalore,11.07545279,Met,AGN-181,Anita,,Agent_10
TKT-109268,Login Issue,High,Resolved,02-03-2023,11-03-2023,36,AGN-122,Finance,2,Bangalore,13.58215587,Met,AGN-122,Suresh,,Agent_19
TKT-104887,Performance Issue,Critical,Resolved,29-07-2023,02-08-2023,36,AGN-186,IT,4,Bangalore,6.303239027,Met,AGN-186,Priya,,Agent_13
TKT-104859,Hardware Failure,High,Open,02-03-2023,06-03-2023,36,AGN-138,HR,3,Bangalore,5.899242647,Met,AGN-138,Karthik,,Agent_17
TKT-106331,Hardware Failure,Critical,In Progress,02-04-2023,02-04-2023,36,AGN-175,HR,3,Bangalore,19.45868644,Met,AGN-175,Neha,,Agent_9
TKT-108571,Email Problem,High,Resolved,03-10-2023,11-10-2023,36,AGN-179,Finance,1,Bangalore,13.71522338,Met,AGN-179,Rahul,,Agent_16
TKT-108684,Performance Issue,High,Resolved,02-08-2023,02-08-2023,36,AGN-161,Operations,2,Bangalore,1.991887836,Met,AGN-161,Pooja,,Agent_2
TKT-107208,Hardware Failure,Medium,In Progress,15-09-2023,21-09-2023,36,AGN-200,IT,1,Bangalore,20.32548305,Met,AGN-200,Arjun,,Agent_11
TKT-105276,Login Issue,High,In Progress,07-09-2023,10-09-2023,36,AGN-152,IT,3,Bangalore,6.812190854,Met,AGN-152,Meena,,Agent_15
TKT-102062,Software Bug,Medium,In Progress,16-05-2023,19-05-2023,36,AGN-171,Operations,3,Bangalore,16.61214667,Met,AGN-171,Vijay,,Agent_3
TKT-100064,System Crash,Critical,Open,23-02-2023,26-02-2023,36,AGN-171,Support,1,Bangalore,7.709159575,Met,AGN-171,Sneha,,Agent_19
TKT-108006,Performance Issue,High,Resolved,02-06-2023,03-06-2023,36,AGN-195,Operations,1,Bangalore,4.576806308,Met,AGN-195,Amit,,Agent_1
TKT-102568,Network Issue,Medium,Open,07-02-2023,13-02-2023,36,AGN-199,IT,5,Bangalore,20.26676616,Met,AGN-199,Divya,,Agent_18
TKT-105463,Performance Issue,Critical,Resolved,11-10-2023,15-10-2023,36,AGN-111,HR,1,Bangalore,23.77425976,Met,AGN-111,Manoj,,Agent_1
TKT-102027,Hardware Failure,High,Resolved,06-05-2023,12-05-2023,36,AGN-156,IT,4,Bangalore,76.25093323,Breached,AGN-156,Ravi,,Agent_14
TKT-102695,Network Issue,High,Resolved,12-01-2023,19-01-2023,36,AGN-142,Support,1,Bangalore,24.66774419,Met,AGN-142,Anita,,Agent_13
TKT-109687,Network Issue,Medium,In Progress,02-11-2023,10-11-2023,36,AGN-108,Operations,5,Bangalore,96.98818221,Breached,AGN-108,Suresh,,Agent_4
TKT-105258,Software Bug,Medium,Open,26-08-2023,01-09-2023,36,AGN-112,Operations,3,Bangalore,17.43035272,Met,AGN-112,Priya,,Agent_2
TKT-105618,Hardware Failure,Low,Open,27-09-2023,04-10-2023,36,AGN-172,Finance,5,Bangalore,16.62241786,Met,AGN-172,Karthik,,Agent_1
TKT-106736,Email Problem,Critical,Open,04-07-2023,11-07-2023,36,AGN-191,IT,3,Bangalore,5.108043567,Met,AGN-191,Neha,,Agent_5
TKT-100391,Email Problem,Medium,Resolved,15-10-2023,24-10-2023,36,AGN-184,Finance,3,Bangalore,15.96327997,Met,AGN-184,Rahul,,Agent_15
TKT-105892,Login Issue,Low,In Progress,22-11-2023,23-11-2023,36,AGN-203,IT,2,Bangalore,3.486419227,Met,AGN-203,Pooja,,Agent_7
TKT-103561,System Crash,Medium,Open,04-02-2023,11-02-2023,36,AGN-127,HR,3,Bangalore,10.13711961,Met,AGN-127,Arjun,,Agent_5
TKT-106184,Software Bug,High,Open,23-09-2023,23-09-2023,36,AGN-136,Support,4,Bangalore,8.508565688,Met,AGN-136,Meena,,Agent_11
TKT-103099,System Crash,High,Resolved,01-04-2023,10-04-2023,36,AGN-109,Operations,3,Bangalore,7.400451513,Met,AGN-109,Ravi,,Agent_7
TKT-106278,Network Issue,Medium,Open,22-06-2023,24-06-2023,36,AGN-194,Finance,5,Bangalore,25.23707891,Met,AGN-194,Anita,,Agent_9
TKT-108392,Hardware Failure,Low,In Progress,04-04-2023,04-04-2023,36,AGN-122,IT,4,Bangalore,18.15593763,Met,AGN-122,Suresh,,Agent_16
TKT-103104,System Crash,Critical,In Progress,10-04-2023,13-04-2023,36,AGN-106,Operations,1,Bangalore,27.72973402,Met,AGN-106,Priya,,Agent_10
TKT-107215,Email Problem,Critical,In Progress,03-09-2023,05-09-2023,36,AGN-113,Operations,2,Bangalore,24.74904115,Met,AGN-113,Karthik,,Agent_3
TKT-102454,Performance Issue,High,In Progress,11-04-2023,16-04-2023,36,AGN-115,IT,4,Bangalore,23.00373166,Met,AGN-115,Neha,,Agent_4
TKT-108996,Email Problem,Medium,Open,24-02-2023,05-03-2023,36,AGN-130,HR,1,Bangalore,22.75368756,Met,AGN-130,Rahul,,Agent_13
TKT-102731,Login Issue,Low,Resolved,03-01-2023,05-01-2023,36,AGN-122,Finance,4,Bangalore,20.25463882,Met,AGN-122,Pooja,,Agent_19
TKT-108154,Email Problem,High,In Progress,16-04-2023,25-04-2023,36,AGN-172,HR,5,Bangalore,4.484136755,Met,AGN-172,Arjun,,Agent_12
TKT-109762,Hardware Failure,Low,Open,12-07-2023,16-07-2023,36,AGN-134,HR,1,Bangalore,22.6061031,Met,AGN-134,Meena,,Agent_12
TKT-105056,System Crash,Critical,Resolved,06-08-2023,13-08-2023,36,AGN-111,Finance,5,Bangalore,27.5786785,Met,AGN-111,Vijay,,Agent_16
TKT-108110,Login Issue,Critical,Resolved,18-06-2023,20-06-2023,36,AGN-155,HR,4,Bangalore,4.198631459,Met,AGN-155,Sneha,,Agent_15
TKT-103840,Performance Issue,High,In Progress,12-01-2023,19-01-2023,36,AGN-135,Operations,3,Bangalore,21.32525293,Met,AGN-135,Amit,,Agent_10
TKT-101028,Performance Issue,Medium,Open,01-01-2023,10-01-2023,36,AGN-200,HR,5,Bangalore,8.837507641,Met,AGN-200,Divya,,Agent_11
TKT-107385,Email Problem,Critical,Open,28-01-2023,02-02-2023,36,AGN-139,IT,3,Bangalore,2.288472597,Met,AGN-139,Manoj,,Agent_7
TKT-100502,Email Problem,High,Open,09-06-2023,13-06-2023,36,AGN-175,IT,5,Bangalore,3.403703966,Met,AGN-175,Ravi,,Agent_4
TKT-106910,Performance Issue,Low,Open,10-05-2023,15-05-2023,36,AGN-148,Finance,1,Bangalore,3.180666957,Met,AGN-148,Anita,,Agent_18
TKT-109062,Performance Issue,Critical,In Progress,05-03-2023,13-03-2023,36,AGN-136,Operations,3,Bangalore,2.656096792,Met,AGN-136,Suresh,,Agent_18
TKT-106938,System Crash,High,Resolved,11-08-2023,20-08-2023,36,AGN-177,Operations,2,Bangalore,7.500710961,Met,AGN-177,Priya,,Agent_2
TKT-104488,System Crash,High,Open,07-11-2023,09-11-2023,36,AGN-130,Operations,5,Bangalore,77.78477804,Breached,AGN-130,Karthik,,Agent_1
TKT-100206,Network Issue,High,Resolved,02-01-2023,02-01-2023,36,AGN-135,IT,3,Bangalore,25.9697666,Met,AGN-135,Neha,,Agent_6
TKT-105134,Performance Issue,Critical,In Progress,03-10-2023,12-10-2023,36,AGN-164,IT,4,Bangalore,18.76677532,Met,AGN-164,Rahul,,Agent_4
TKT-105977,Email Problem,Low,In Progress,11-01-2023,18-01-2023,36,AGN-112,Finance,2,Bangalore,27.94268518,Met,AGN-112,Pooja,,Agent_1
TKT-107721,Software Bug,Critical,In Progress,06-11-2023,15-11-2023,36,AGN-121,Finance,4,Bangalore,20.91256428,Met,AGN-121,Arjun,,Agent_1
TKT-107035,Login Issue,Critical,Open,11-09-2023,12-09-2023,36,AGN-174,Finance,2,Bangalore,9.805124433,Met,AGN-174,Meena,,Agent_8
TKT-101484,Email Problem,Medium,Open,08-02-2023,10-02-2023,36,AGN-112,HR,5,Bangalore,25.52319741,Met,AGN-112,Ravi,,Agent_19
TKT-107858,Network Issue,Medium,Resolved,03-06-2023,12-06-2023,36,AGN-181,Finance,4,Bangalore,21.66853184,Met,AGN-181,Anita,,Agent_5
TKT-100863,System Crash,Low,Resolved,02-08-2023,08-08-2023,36,AGN-148,IT,1,Bangalore,15.47228593,Met,AGN-148,Suresh,,Agent_4
TKT-102790,Software Bug,High,Resolved,19-02-2023,26-02-2023,36,AGN-113,Operations,4,Bangalore,16.17539166,Met,AGN-113,Priya,,Agent_8
TKT-107408,Performance Issue,Low,Open,12-05-2023,20-05-2023,36,AGN-105,HR,3,Bangalore,18.81828577,Met,AGN-105,Karthik,,Agent_5
TKT-108755,Software Bug,Low,Open,17-08-2023,25-08-2023,36,AGN-191,IT,5,Bangalore,6.782926144,Met,AGN-191,Neha,,Agent_16
TKT-105116,System Crash,Medium,Open,11-11-2023,11-11-2023,36,AGN-153,HR,5,Bangalore,92.9173506,Breached,AGN-153,Rahul,,Agent_20
TKT-106019,Hardware Failure,Critical,Open,02-11-2023,02-11-2023,36,AGN-137,Support,3,Bangalore,3.04359215,Met,AGN-137,Pooja,,Agent_9
TKT-101757,Network Issue,Critical,Open,27-07-2023,04-08-2023,36,AGN-164,HR,2,Bangalore,13.13042986,Met,AGN-164,Arjun,,Agent_11
TKT-107574,Email Problem,Medium,In Progress,23-07-2023,30-07-2023,36,AGN-170,Finance,1,Bangalore,20.16843597,Met,AGN-170,Meena,,Agent_12
TKT-106374,Login Issue,Critical,In Progress,14-05-2023,14-05-2023,36,AGN-116,Operations,5,Bangalore,25.31407249,Met,AGN-116,Vijay,,Agent_17
TKT-106892,Performance Issue,Low,Open,30-03-2023,03-04-2023,36,AGN-106,Operations,4,Bangalore,17.54062801,Met,AGN-106,Sneha,,Agent_17
TKT-101678,System Crash,High,Open,20-12-2023,27-12-2023,36,AGN-173,HR,3,Bangalore,12.12213978,Met,AGN-173,Amit,,Agent_3
TKT-103242,Performance Issue,Medium,In Progress,16-05-2023,24-05-2023,36,AGN-164,Operations,5,Bangalore,25.8655414,Met,AGN-164,Divya,,Agent_13
TKT-104636,Email Problem,Low,In Progress,05-06-2023,09-06-2023,36,AGN-145,Support,5,Bangalore,2.193962892,Met,AGN-145,Manoj,,Agent_3
TKT-101059,System Crash,Medium,Open,28-06-2023,03-07-2023,36,AGN-131,Operations,4,Bangalore,20.3029185,Met,AGN-131,Ravi,,Agent_8
TKT-106668,Login Issue,High,Open,12-05-2023,20-05-2023,36,AGN-192,Finance,5,Bangalore,91.13165567,Breached,AGN-192,Anita,,Agent_18
TKT-109914,System Crash,High,In Progress,08-10-2023,14-10-2023,36,AGN-118,IT,1,Bangalore,17.14510955,Met,AGN-118,Suresh,,Agent_2
TKT-103157,Login Issue,Critical,In Progress,30-04-2023,07-05-2023,36,AGN-143,HR,5,Bangalore,45.34067033,Breached,AGN-143,Priya,,Agent_3
TKT-105915,Network Issue,High,Open,07-07-2023,07-07-2023,36,AGN-181,HR,1,Bangalore,24.24674214,Met,AGN-181,Karthik,,Agent_7
TKT-109789,Hardware Failure,Medium,Open,10-09-2023,12-09-2023,36,AGN-154,Operations,1,Bangalore,18.34955865,Met,AGN-154,Neha,,Agent_5
TKT-102693,Performance Issue,Low,Resolved,10-11-2023,12-11-2023,36,AGN-121,Support,2,Bangalore,25.03406028,Met,AGN-121,Rahul,,Agent_5
TKT-103627,Software Bug,Low,Open,30-04-2023,01-05-2023,36,AGN-115,IT,3,Bangalore,11.98427776,Met,AGN-115,Pooja,,Agent_13
TKT-109555,Software Bug,Critical,Open,20-07-2023,25-07-2023,36,AGN-130,IT,4,Bangalore,10.00557894,Met,AGN-130,Arjun,,Agent_15
TKT-105450,Performance Issue,Medium,Resolved,15-10-2023,19-10-2023,36,AGN-159,Finance,3,Bangalore,7.407567665,Met,AGN-159,Meena,,Agent_8
TKT-101663,Login Issue,High,In Progress,22-12-2023,22-12-2023,36,AGN-138,Operations,5,Bangalore,22.72128147,Met,AGN-138,Ravi,,Agent_13
TKT-109721,Software Bug,High,In Progress,02-10-2023,05-10-2023,36,AGN-130,Finance,5,Bangalore,6.622354608,Met,AGN-130,Anita,,Agent_14
TKT-105592,Login Issue,Medium,Resolved,10-10-2023,15-10-2023,36,AGN-130,Support,2,Bangalore,12.48838618,Met,AGN-130,Suresh,,Agent_18
TKT-107392,Network Issue,Low,Resolved,22-08-2023,26-08-2023,36,AGN-103,IT,5,Bangalore,24.50309824,Met,AGN-103,Priya,,Agent_7
TKT-101306,Email Problem,High,In Progress,07-10-2023,08-10-2023,36,AGN-113,Support,4,Bangalore,13.93004136,Met,AGN-113,Karthik,,Agent_16
TKT-106776,Login Issue,Critical,Open,11-07-2023,12-07-2023,36,AGN-151,IT,4,Bangalore,12.39308663,Met,AGN-151,Neha,,Agent_19
TKT-105864,Network Issue,Critical,In Progress,22-11-2023,26-11-2023,36,AGN-185,HR,5,Bangalore,25.76040564,Met,AGN-185,Rahul,,Agent_1
TKT-109474,System Crash,Low,Resolved,29-01-2023,30-01-2023,36,AGN-199,Support,3,Bangalore,24.65109962,Met,AGN-199,Pooja,,Agent_14
TKT-107526,Login Issue,Low,In Progress,03-04-2023,12-04-2023,36,AGN-116,Operations,5,Bangalore,10.10483075,Met,AGN-116,Arjun,,Agent_12
TKT-108901,System Crash,Critical,Open,17-05-2023,25-05-2023,36,AGN-132,Finance,5,Bangalore,101.6059522,Breached,AGN-132,Meena,,Agent_13
TKT-105575,Software Bug,Medium,Open,29-08-2023,04-09-2023,36,AGN-190,Finance,1,Bangalore,21.15576334,Met,AGN-190,Vijay,,Agent_14
TKT-105530,System Crash,High,In Progress,18-01-2023,21-01-2023,36,AGN-147,Support,1,Bangalore,9.394144448,Met,AGN-147,Sneha,,Agent_4
TKT-104413,Software Bug,Low,Open,10-03-2023,19-03-2023,36,AGN-159,Finance,1,Bangalore,13.07497516,Met,AGN-159,Amit,,Agent_18
TKT-103748,Network Issue,Medium,Open,13-01-2023,14-01-2023,36,AGN-143,IT,1,Bangalore,27.82492992,Met,AGN-143,Divya,,Agent_9
TKT-100663,Performance Issue,Critical,Open,21-03-2023,21-03-2023,36,AGN-167,Support,3,Bangalore,12.12762255,Met,AGN-167,Manoj,,Agent_5
TKT-101998,Login Issue,High,Resolved,13-02-2023,15-02-2023,36,AGN-125,Support,5,Bangalore,1.784070739,Met,AGN-125,Ravi,,Agent_7
TKT-107994,Login Issue,Critical,Open,11-02-2023,15-02-2023,36,AGN-165,Finance,3,Bangalore,20.40333586,Met,AGN-165,Anita,,Agent_10
TKT-101495,Software Bug,Critical,Open,03-02-2023,09-02-2023,36,AGN-156,Operations,1,Bangalore,11.14585848,Met,AGN-156,Suresh,,Agent_1
TKT-103304,Performance Issue,Medium,In Progress,27-05-2023,01-06-2023,36,AGN-141,Support,2,Bangalore,10.14363061,Met,AGN-141,Priya,,Agent_20
TKT-103763,Software Bug,High,In Progress,11-06-2023,17-06-2023,36,AGN-131,IT,5,Bangalore,20.86172615,Met,AGN-131,Karthik,,Agent_15
TKT-105232,Network Issue,High,Open,27-05-2023,31-05-2023,36,AGN-196,Operations,1,Bangalore,19.2403817,Met,AGN-196,Neha,,Agent_10
